Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic)
1,746,746,13.395,1795.9309,1795.9309,10000
2,454545,1490,13.421,1651.073,1723.50195,20000
3,11481,2099,14.292,992.1623,1479.7220666666667,30000
4,6605,2530,15.806,1520.3973,1489.890875,40000
5,6161,2868,17.429,1626.3762,1517.18794,50000
6,6527,3164,18.961,1536.5017,1520.4069,60000
7,6123,3399,20.594,1630.7078,1536.1641714285715,70000
8,6557,3616,22.119,1535.8469,1536.1245125,80000
9,5800,3774,23.844,1726.0645,1557.2289555555556,90000
10,6587,3942,25.362,1524.7082,1553.97688,100000
